== Alignment Results (odd-one-out accuracy) ==

[distance=cosine] file=/home/maxvonk/diffusion-alignment/things_playground/things_data/alignment.pkl
  source | model | module | acc
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_40 | transformer_blocks.15 | 0.3851
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_40 | transformer_blocks.16 | 0.3822
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_40 | transformer_blocks.17 | 0.3797
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_40 | transformer_blocks.18 | 0.3777
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_40 | transformer_blocks.19 | 0.3754
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_40 | transformer_blocks.2 | 0.3681
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_40 | transformer_blocks.20 | 0.3764
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_40 | transformer_blocks.21 | 0.3768
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_40 | transformer_blocks.22 | 0.3760
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_40 | transformer_blocks.23 | 0.3761
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_40 | transformer_blocks.3 | 0.3694
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_40 | transformer_blocks.4 | 0.3719
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_40 | transformer_blocks.5 | 0.3712
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_40 | transformer_blocks.6 | 0.3734
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_40 | transformer_blocks.7 | 0.3765
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_40 | transformer_blocks.8 | 0.3839
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_40 | transformer_blocks.9 | 0.3871
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_5 | transformer_blocks.0 | 0.3723
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_5 | transformer_blocks.1 | 0.3713
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_5 | transformer_blocks.10 | 0.3780
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_5 | transformer_blocks.11 | 0.3770
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_5 | transformer_blocks.12 | 0.3767
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_5 | transformer_blocks.13 | 0.3766
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_5 | transformer_blocks.14 | 0.3761
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_5 | transformer_blocks.15 | 0.3730
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_5 | transformer_blocks.16 | 0.3719
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_5 | transformer_blocks.17 | 0.3717
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_5 | transformer_blocks.18 | 0.3691
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_5 | transformer_blocks.19 | 0.3688
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_5 | transformer_blocks.2 | 0.3712
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_5 | transformer_blocks.20 | 0.3692
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_5 | transformer_blocks.21 | 0.3692
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_5 | transformer_blocks.22 | 0.3685
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_5 | transformer_blocks.23 | 0.3654
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_5 | transformer_blocks.3 | 0.3703
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_5 | transformer_blocks.4 | 0.3707
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_5 | transformer_blocks.5 | 0.3722
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_5 | transformer_blocks.6 | 0.3719
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_5 | transformer_blocks.7 | 0.3735
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_5 | transformer_blocks.8 | 0.3772
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_5 | transformer_blocks.9 | 0.3758
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_50 | transformer_blocks.0 | 0.3649
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_50 | transformer_blocks.1 | 0.3672
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_50 | transformer_blocks.10 | 0.3929
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_50 | transformer_blocks.11 | 0.3892
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_50 | transformer_blocks.12 | 0.3922
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_50 | transformer_blocks.13 | 0.3896
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_50 | transformer_blocks.14 | 0.3881
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_50 | transformer_blocks.15 | 0.3817
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_50 | transformer_blocks.16 | 0.3795
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_50 | transformer_blocks.17 | 0.3760
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_50 | transformer_blocks.18 | 0.3758
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_50 | transformer_blocks.19 | 0.3717
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_50 | transformer_blocks.2 | 0.3674
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_50 | transformer_blocks.20 | 0.3737
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_50 | transformer_blocks.21 | 0.3735
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_50 | transformer_blocks.22 | 0.3734
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_50 | transformer_blocks.23 | 0.3749
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_50 | transformer_blocks.3 | 0.3690
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_50 | transformer_blocks.4 | 0.3709
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_50 | transformer_blocks.5 | 0.3713
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_50 | transformer_blocks.6 | 0.3732
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_50 | transformer_blocks.7 | 0.3761
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_50 | transformer_blocks.8 | 0.3832
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_50 | transformer_blocks.9 | 0.3864
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_60 | transformer_blocks.0 | 0.3636
